Player|Position|College|NFL_Team|Years|Dollars|Guaranteed|2019_CAP
Olamide Zaccheaus|WR|WR|Virginia|ATL|$1,755,000|-|$495,000
Gary Johnson|LB|LB|Texas|KC|$1,755,000|-|$495,000
Saivion Smith|CB|CB|Alabama|JAC|$1,755,000|-|$495,000
Joe Dineen|LB|LB|Kansas|DEN|$1,755,000|-|$495,000
Nate Trewyn|C|C|Wisconsin-Whitewater|TB|$1,755,000|-|$495,000
Kahzin Daniels|DE|DE|Charleston|TB|$1,755,000|-|$495,000
Joe Giles-Harris|LB|LB|Duke|JAC|$1,755,000|-|$495,000
Jonathan Ledbetter|DE|DE|Georgia|MIA|$1,755,000|-|$495,000
Terrill Hanks|LB|LB|New Mexico State|MIA|$1,755,000|-|$495,000
Stephen Louis|WR|WR|North Carolina State|HOU|$1,755,000|-|$495,000
Travon McMillan|RB|RB|Colorado|PIT|$1,755,000|-|$495,000
Garrett Brumfield|G|G|Louisiana State|PIT|$1,755,000|-|$495,000
Elijah Zeise|LB|LB|Pittsburgh|LAC|$1,755,000|-|$495,000
Tanner Volson|C|C|North Dakota State|LAC|$1,755,000|-|$495,000
Trevion Thompson|WR|WR|Clemson|LAC|$1,755,000|-|$495,000
Matt Sokol|TE|TE|Michigan State|LAC|$1,755,000|-|$495,000
Rodney Randle|S|S|Lamar|LAC|$1,755,000|-|$495,000
Chris Peace|DE|DE|Virginia|LAC|$1,755,000|-|$495,000
Tyler Newsome|P|P|Notre Dame|LAC|$1,755,000|-|$495,000
Jason Moore|WR|WR|Findlay|LAC|$1,755,000|-|$495,000
Koda Martin|G|G|Syracuse|LAC|$1,755,000|-|$495,000
Bradford Lemmons|CB|CB|Furman|LAC|$1,755,000|-|$495,000
Reggie Howard|DT|DT|Toledo|LAC|$1,755,000|-|$495,000
Daniel Helm|TE|TE|Duke|LAC|$1,755,000|-|$495,000
Kemon Hall|CB|CB|North Texas|LAC|$1,755,000|-|$495,000
Jeremy Cox|RB|RB|Old Dominion|LAC|$1,755,000|-|$495,000
Josh Corcoran|LB|LB|Northern Illinois|LAC|$1,755,000|-|$495,000
Blake Camper|T|T|South Carolina|LAC|$1,755,000|-|$495,000
Chris Brown|G|G|Southern California|LAC|$1,755,000|-|$495,000
Roderic Teamer|S|S|Tulane|LAC|$1,755,000|-|$495,000
T.J. Linta|QB|QB|Wagner|KC|$1,755,000|-|$495,000
Jordan Wyatt|CB|CB|Southern Methodist|NO|$1,755,000|-|$495,000
Malik Taylor|WR|WR|Ferris State|TB|$1,755,000|-|$495,000
Chris Nelson|DT|DT|Texas|PIT|$1,755,000|-|$495,000
Jay Hayes|DE|DE|Georgia|PIT|$1,755,000|-|$495,000
Nate Brooks|CB|CB|North Texas|ARI|$1,755,000|-|$495,000
Matt Eaton|WR|WR|Iowa State|GB|$1,755,000|-|$495,000
Ryan Pulley|CB|CB|Arkansas|ARI|$1,755,000|-|$495,000
Nate Becker|TE|TE|Ohio|DET|$1,755,000|-|$495,000
John Baron|K|K|San Diego State|CHI|$1,755,000|-|$495,000
Elliott Fry|K|K|South Carolina|CHI|$1,755,000|-|$495,000
Cody Brown|S|S|Arkansas State|JAC|$1,755,000|-|$495,000
Jordan Martin|S|S|Toledo|MIN|$1,755,000|-|$495,000
Brandon Silvers|QB|QB|Troy|NYJ|$1,755,000|-|$495,000
Cole Mazza|LS|LS|Alabama|LAC|$1,755,000|-|$495,000
Christian Wade|RB|RB||BUF|$1,755,000|-|$495,000
Andrew Ankrah|DT|DT|James Madison|WAS|$1,755,000|-|$495,000
Damon Sheehy-Guiseppi|WR|WR|Phoenix|CLE|$1,755,000|-|$495,000
Cole Murphy|K|K|Syracuse|ARI|$1,755,000|-|$495,000
Phillip Andersen|K|K||TB|$1,755,000|-|$495,000
Tre Williams|LB|LB|Auburn|DET|$1,755,000|-|$495,000
Redford Jones|K|K|Tulsa|CHI|$1,755,000|-|$495,000
Bryant Mitchell|WR|WR|Northwestern State|ARI|$1,080,000|-|$495,000
Mercy Maston|S|S|Boise State|PHI|$1,080,000|-|$495,000
David Bright|G|G|Stanford|CLE|$1,080,000|-|$495,000
Sam Eguavoen|LB|LB|Texas Tech|MIA|$1,080,000|-|$495,000
Tevaughn Campbell|CB|CB||NYJ|$1,080,000|-|$495,000
Jameer Thurman|LB|LB|Indiana State|CHI|$1,080,000|-|$495,000
Hayden Hunt|P|P|Colorado State|TB|$1,080,000|-|$495,000
Tristan Vizcaino|K|K|Washington|CIN|$1,080,000|-|$495,000
Chris Blewitt|K|K|Pittsburgh|CHI|$495,000|-|$495,000
Jakob Johnson|RB|RB|Tennessee|NE|-|-|-
